"name","param","value","description","cohort_file"
"med_center.all.inpatient","filter","facility_name == ""RL ECUH MEDICAL CENTER HOSPITAL""","All inpatient encounters at RL ECUH MEDICAL CENTER HOSPITAL","ecu.inpatient.combinedsinglefile.rollup.cohorts.ps1"
"chowan.all.inpatient","filter","facility_name == ""RL ECUH CHOWAN HOSPITAL""","All inpatient encounters at RL ECUH CHOWAN HOSPITAL","ecu.inpatient.combinedsinglefile.rollup.cohorts.ps1"
"outer_banks.all.inpatient","filter","facility_name == ""RL OUTER BANKS HEALTH""","All inpatient encounters at RL OUTER BANKS HEALTH","ecu.inpatient.combinedsinglefile.rollup.cohorts.ps1"
"edgecombe.all.inpatient","filter","facility_name == ""RL ECUH EDGECOMBE HOSPITAL""","All inpatient encounters at RL ECUH EDGECOMBE HOSPITAL","ecu.inpatient.combinedsinglefile.rollup.cohorts.ps1"
"duplin.all.inpatient","filter","facility_name == ""RL ECUH DUPLIN HOSPITAL""","All inpatient encounters at RL ECUH DUPLIN HOSPITAL","ecu.inpatient.combinedsinglefile.rollup.cohorts.ps1"
"beaufort.all.inpatient","filter","facility_name == ""RL ECUH BEAUFORT HOSPITAL""","All inpatient encounters at RL ECUH BEAUFORT HOSPITAL","ecu.inpatient.combinedsinglefile.rollup.cohorts.ps1"
"north.all.inpatient","filter","facility_name == ""RL ECUH NORTH HOSPITAL""","All inpatient encounters at RL ECUH NORTH HOSPITAL","ecu.inpatient.combinedsinglefile.rollup.cohorts.ps1"
"roanoke_chowan.all.inpatient","filter","facility_name == ""RL ECUH ROANOKE CHOWAN HOSPITAL""","All inpatient encounters at RL ECUH ROANOKE CHOWAN HOSPITAL","ecu.inpatient.combinedsinglefile.rollup.cohorts.ps1"
"bertie.all.inpatient","filter","facility_name == ""RL ECUH BERTIE HOSPITAL""","All inpatient encounters at RL ECUH BERTIE HOSPITAL","ecu.inpatient.combinedsinglefile.rollup.cohorts.ps1"
