"name","param","value","description"
"all.operatingrooms.excl.endoscopy.and.ob","filter","location == ""RL ECUH MEDICAL CENTER HOSPITAL"" and or_room not in [""Obstetrics, Labor, Delivery OR"", ""Endoscopy Lab""]","RL ECUH MEDICAL CENTER HOSPITAL - Operating rooms excluding Endoscopy and OB"
"endoscopy","filter","location == ""RL ECUH MEDICAL CENTER HOSPITAL"" and or_room in [""Endoscopy Lab""]","RL ECUH MEDICAL CENTER HOSPITAL - Endoscopy procedures"
"ob","filter","location == ""RL ECUH MEDICAL CENTER HOSPITAL"" and or_room in [""Obstetrics, Labor, Delivery OR""]","RL ECUH MEDICAL CENTER HOSPITAL - Obstetrics operating room procedures"
