"name","param","value","description","cohort_file"
"beaufort.neonate.services","filter","hospital_name == ""RL ECUH BEAUFORT HOSPITAL"" and service_line in [""Pediatrics"", ""Neonatology"", ""NEWBORN""]","RL ECUH BEAUFORT HOSPITAL - Neonatal and pediatric-related services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"beaufort.psychiatry","filter","hospital_name == ""RL ECUH BEAUFORT HOSPITAL"" and service_line in [""Psychiatry""]","RL ECUH BEAUFORT HOSPITAL - Psychiatry services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"north.all.inpatient","filter","hospital_name == ""RL ECUH NORTH HOSPITAL""","RL ECUH NORTH HOSPITAL - All inpatient encounters","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"north.all.service.lines.excl.neonate.and.ob","filter","hospital_name == ""RL ECUH NORTH HOSPITAL"" and service_line not in [""Pediatrics"", ""Neonatology"", ""NEWBORN"", ""Obstetrics/Gyn"", ""Obstetrics"", ""Gynecology"", ""Maternal-Fetal Med""]","RL ECUH NORTH HOSPITAL - All service lines excluding Neonate and OB","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"north.neonate.services","filter","hospital_name == ""RL ECUH NORTH HOSPITAL"" and service_line in [""Pediatrics"", ""Neonatology"", ""NEWBORN""]","RL ECUH NORTH HOSPITAL - Neonatal and pediatric-related services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"north.psychiatry","filter","hospital_name == ""RL ECUH NORTH HOSPITAL"" and service_line in [""Psychiatry""]","RL ECUH NORTH HOSPITAL - Psychiatry services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"roanoke_chowan.all.inpatient","filter","hospital_name == ""RL ECUH ROANOKE CHOWAN HOSPITAL""","RL ECUH ROANOKE CHOWAN HOSPITAL - All inpatient encounters","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"roanoke_chowan.all.service.lines.excl.neonate.and.ob","filter","hospital_name == ""RL ECUH ROANOKE CHOWAN HOSPITAL"" and service_line not in [""Pediatrics"", ""Neonatology"", ""NEWBORN"", ""Obstetrics/Gyn"", ""Obstetrics"", ""Gynecology"", ""Maternal-Fetal Med""]","RL ECUH ROANOKE CHOWAN HOSPITAL - All service lines excluding Neonate and OB","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"roanoke_chowan.neonate.services","filter","hospital_name == ""RL ECUH ROANOKE CHOWAN HOSPITAL"" and service_line in [""Pediatrics"", ""Neonatology"", ""NEWBORN""]","RL ECUH ROANOKE CHOWAN HOSPITAL - Neonatal and pediatric-related services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"roanoke_chowan.psychiatry","filter","hospital_name == ""RL ECUH ROANOKE CHOWAN HOSPITAL"" and service_line in [""Psychiatry""]","RL ECUH ROANOKE CHOWAN HOSPITAL - Psychiatry services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"bertie.all.inpatient","filter","hospital_name == ""RL ECUH BERTIE HOSPITAL""","RL ECUH BERTIE HOSPITAL - All inpatient encounters","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"bertie.all.service.lines.excl.neonate.and.ob","filter","hospital_name == ""RL ECUH BERTIE HOSPITAL"" and service_line not in [""Pediatrics"", ""Neonatology"", ""NEWBORN"", ""Obstetrics/Gyn"", ""Obstetrics"", ""Gynecology"", ""Maternal-Fetal Med""]","RL ECUH BERTIE HOSPITAL - All service lines excluding Neonate and OB","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"bertie.neonate.services","filter","hospital_name == ""RL ECUH BERTIE HOSPITAL"" and service_line in [""Pediatrics"", ""Neonatology"", ""NEWBORN""]","RL ECUH BERTIE HOSPITAL - Neonatal and pediatric-related services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"bertie.psychiatry","filter","hospital_name == ""RL ECUH BERTIE HOSPITAL"" and service_line in [""Psychiatry""]","RL ECUH BERTIE HOSPITAL - Psychiatry services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"surgicenter.all.inpatient","filter","hospital_name == ""RL SURGICENTER""","RL SURGICENTER - All inpatient encounters","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"surgicenter.all.service.lines.excl.neonate.and.ob","filter","hospital_name == ""RL SURGICENTER"" and service_line not in [""Pediatrics"", ""Neonatology"", ""NEWBORN"", ""Obstetrics/Gyn"", ""Obstetrics"", ""Gynecology"", ""Maternal-Fetal Med""]","RL SURGICENTER - All service lines excluding Neonate and OB","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"surgicenter.neonate.services","filter","hospital_name == ""RL SURGICENTER"" and service_line in [""Pediatrics"", ""Neonatology"", ""NEWBORN""]","RL SURGICENTER - Neonatal and pediatric-related services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
"surgicenter.psychiatry","filter","hospital_name == ""RL SURGICENTER"" and service_line in [""Psychiatry""]","RL SURGICENTER - Psychiatry services","inpatient_cohort_gen.singlefile.allcohorts.ps1"
